antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'handicapped-infants_n'}),0.3931034482758621,0.542528735632184,0.3103448275862069,0.7894736842105263,1.4551739518287243,0.09707491082045183,2.1729885057471265,0.5154040404040403
frozenset({'physician-fee-freeze_y'}),frozenset({'handicapped-infants_n'}),0.4068965517241379,0.542528735632184,0.3264367816091954,0.8022598870056498,1.4787417408790577,0.10568370986920333,2.313497536945813,0.5458565345561741
frozenset({'handicapped-infants_n'}),frozenset({'physician-fee-freeze_y'}),0.542528735632184,0.4068965517241379,0.3264367816091954,0.6016949152542372,1.4787417408790577,0.10568370986920333,1.489068231841526,0.7076933965602661
frozenset({'handicapped-infants_n'}),frozenset({'el-salvador-aid_y'}),0.542528735632184,0.48735632183908045,0.36091954022988504,0.6652542372881355,1.3650263831148064,0.096514731140177,1.5314418739997087,0.5845469385142271
frozenset({'el-salvador-aid_y'}),frozenset({'handicapped-infants_n'}),0.48735632183908045,0.542528735632184,0.36091954022988504,0.7405660377358491,1.3650263831148064,0.096514731140177,1.7633437826541274,0.5216360572391532
frozenset({'religious-groups-in-schools_y'}),frozenset({'handicapped-infants_n'}),0.6252873563218391,0.542528735632184,0.4367816091954023,0.698529411764706,1.2875436191425722,0.09754525036332407,1.517465657415195,0.5959961252825313
frozenset({'handicapped-infants_n'}),frozenset({'religious-groups-in-schools_y'}),0.542528735632184,0.6252873563218391,0.4367816091954023,0.8050847457627118,1.2875436191425722,0.09754525036332407,1.9224387806096948,0.48817773075905835
frozenset({'anti-satellite-test-ban_n'}),frozenset({'handicapped-infants_n'}),0.41839080459770117,0.542528735632184,0.31724137931034485,0.7582417582417582,1.397606630657478,0.0902523450918219,1.8922675026123297,0.48914475568539834
frozenset({'aid-to-nicaraguan-contras_n'}),frozenset({'handicapped-infants_n'}),0.4091954022988506,0.542528735632184,0.31724137931034485,0.7752808988764045,1.4290135212340505,0.09524111507464658,2.0357471264367812,0.5081486494107033
frozenset({'mx-missile_n'}),frozenset({'handicapped-infants_n'}),0.4735632183908046,0.542528735632184,0.3471264367816092,0.7330097087378641,1.351098403817673,0.09020478266613818,1.7134378265412746,0.49362329737702065
frozenset({'handicapped-infants_n'}),frozenset({'mx-missile_n'}),0.542528735632184,0.4735632183908046,0.3471264367816092,0.6398305084745762,1.351098403817673,0.09020478266613818,1.4616362407031775,0.5680388698459182
frozenset({'handicapped-infants_n'}),frozenset({'synfuels-corporation-cutback_n'}),0.542528735632184,0.6068965517241379,0.3563218390804598,0.6567796610169491,1.0821937596302003,0.027063020214030897,1.1453384418901658,0.16602366672070018
frozenset({'education-spending_y'}),frozenset({'handicapped-infants_n'}),0.3931034482758621,0.542528735632184,0.31264367816091954,0.7953216374269005,1.4659530181385665,0.09937376139516446,2.235073891625615,0.5237299465240641
frozenset({'superfund-right-to-sue_y'}),frozenset({'handicapped-infants_n'}),0.4804597701149425,0.542528735632184,0.3448275862068966,0.7177033492822967,1.3228854107533858,0.08416435460430705,1.6205338008961623,0.46979351032448374
frozenset({'handicapped-infants_n'}),frozenset({'superfund-right-to-sue_y'}),0.542528735632184,0.4804597701149425,0.3448275862068966,0.635593220338983,1.3228854107533858,0.08416435460430705,1.4257150494520183,0.533534338358459
frozenset({'handicapped-infants_n'}),frozenset({'crime_y'}),0.542528735632184,0.5701149425287356,0.39770114942528734,0.733050847457627,1.2857948332422087,0.0883974104901572,1.6103630724320377,0.48586864960641357
frozenset({'crime_y'}),frozenset({'handicapped-infants_n'}),0.5701149425287356,0.542528735632184,0.39770114942528734,0.6975806451612903,1.2857948332422087,0.0883974104901572,1.5127049808429114,0.5170473864795523
frozenset({'duty-free-exports_n'}),frozenset({'handicapped-infants_n'}),0.535632183908046,0.542528735632184,0.335632183908046,0.6266094420600858,1.1549792682039717,0.04503633240850835,1.2251816620425418,0.2889597178895969
frozenset({'handicapped-infants_n'}),frozenset({'duty-free-exports_n'}),0.542528735632184,0.535632183908046,0.335632183908046,0.6186440677966102,1.1549792682039717,0.04503633240850835,1.2176756066411238,0.2933158945411989
frozenset({'handicapped-infants_n'}),frozenset({'export-administration-act-south-africa_y'}),0.542528735632184,0.6183908045977011,0.335632183908046,0.6186440677966102,1.0004095520131058,0.00013740256308625298,1.0006641123882505,0.0008948853858331459
frozenset({'handicapped-infants_y'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.4298850574712644,0.5816091954022988,0.3471264367816092,0.8074866310160428,1.388366341865528,0.09710133439027613,2.17330779054917,0.49065370647297585
frozenset({'handicapped-infants_y'}),frozenset({'physician-fee-freeze_n'}),0.4298850574712644,0.5678160919540229,0.3448275862068966,0.8021390374331551,1.4126740132932085,0.10073193288413268,2.184280832556695,0.5123924731182796
frozenset({'physician-fee-freeze_n'}),frozenset({'handicapped-infants_y'}),0.5678160919540229,0.4298850574712644,0.3448275862068966,0.6072874493927126,1.4126740132932085,0.10073193288413268,1.4517359876762652,0.6759219858156029
frozenset({'handicapped-infants_y'}),frozenset({'anti-satellite-test-ban_y'}),0.4298850574712644,0.5494252873563218,0.3218390804597701,0.7486631016042781,1.3626294945517197,0.08564935922843178,1.7927121545610176,0.466791474654378
frozenset({'aid-to-nicaraguan-contras_y'}),frozenset({'handicapped-infants_y'}),0.5563218390804597,0.4298850574712644,0.335632183908046,0.603305785123967,1.403411853095859,0.09647773814242308,1.4371647509578547,0.6478813258570518
frozenset({'handicapped-infants_y'}),frozenset({'aid-to-nicaraguan-contras_y'}),0.4298850574712644,0.5563218390804597,0.335632183908046,0.7807486631016043,1.403411853095859,0.09647773814242308,2.023605270535464,0.5041979673000444
frozenset({'handicapped-infants_y'}),frozenset({'education-spending_n'}),0.4298850574712644,0.535632183908046,0.3264367816091954,0.7593582887700535,1.4176860756007437,0.09617650944642622,1.9297062579821203,0.516782144479782
frozenset({'education-spending_n'}),frozenset({'handicapped-infants_y'}),0.535632183908046,0.4298850574712644,0.3264367816091954,0.6094420600858369,1.4176860756007437,0.09617650944642622,1.459744852848301,0.6344652070840888
frozenset({'water-project-cost-sharing_n'}),frozenset({'synfuels-corporation-cutback_n'}),0.4413793103448276,0.6068965517241379,0.3080459770114943,0.6979166666666667,1.149976325757576,0.04017439556084029,1.3013079667063023,0.23346231803943257
frozenset({'water-project-cost-sharing_n'}),frozenset({'export-administration-act-south-africa_y'}),0.4413793103448276,0.6183908045977011,0.30344827586206896,0.6875,1.1117565055762082,0.030503369005152603,1.2211494252873565,0.17994762439206888
frozenset({'water-project-cost-sharing_y'}),frozenset({'religious-groups-in-schools_y'}),0.4482758620689655,0.6252873563218391,0.31494252873563217,0.7025641025641025,1.1235859728506787,0.03464130003963534,1.259809750297265,0.19936131386861305
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'physician-fee-freeze_y'}),0.3931034482758621,0.4068965517241379,0.335632183908046,0.8538011695906433,2.098324908315988,0.1756797463337297,4.056827586206899,0.8624688667496887
frozenset({'physician-fee-freeze_y'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.4068965517241379,0.3931034482758621,0.335632183908046,0.824858757062147,2.0983249083159876,0.1756797463337297,3.4651835372636275,0.8825262822554953
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'el-salvador-aid_y'}),0.3931034482758621,0.48735632183908045,0.35172413793103446,0.894736842105263,1.8358987090367427,0.1601426872770511,4.870114942528732,0.7502228163992869
